Reference, Value, Footprint, Datasheet
"DB1","BoardID_VIN_Scope_FuncGen_DB_CONN","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm",""
"DB2","Arduino_DB_CONN","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm",""
"DB3","Logic_Analyzer1_DB_CONN","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm",""
"DB4","Logic_Analyzer2_DB_CONN","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm",""
"PSU1","DIN_5","RLS_CustomFootprints:Molex_2x3_3.5mm",""
"F3","4A","Fuse_Holders_and_Fuses:Fuse_SMD2920",""
"F2","1.5A","Fuse_Holders_and_Fuses:Fuse_SMD2920",""
"F1","1A","Fuse_Holders_and_Fuses:Fuse_SMD2920",""
"J6","ADS1115","Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm",""
"R6","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R5","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R4","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R3","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R7","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R8","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R9","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R10","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"D1","AD_LED","LEDs:LED_0603",""
"D2","+5V_LED","LEDs:LED_0603",""
"R30","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R31","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R32","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R33","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"U1","ARDUINO_MEGA_SHIELD","",""
"R11","20K","Resistors_SMD:R_1206_HandSoldering",""
"R12","10K","Resistors_SMD:R_1206_HandSoldering",""
"R13","20K","Resistors_SMD:R_1206_HandSoldering",""
"R14","10K","Resistors_SMD:R_1206_HandSoldering",""
"R15","10K","Resistors_SMD:R_1206_HandSoldering",""
"R16","10K","Resistors_SMD:R_1206_HandSoldering",""
"Q1","BS170","TO_SOT_Packages_SMD:SOT-23",""
"R29","1K","Resistors_SMD:R_1206_HandSoldering",""
"TH1","3K_NTC","Resistors_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",""
"C45","10uF","Capacitors_SMD:CP_Elec_4x5.3",""
"J7","DC_Fan","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"U12","ULN2803A","Housings_DIP:DIP-18_W7.62mm",""
"R1","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"R2","4.7K","Resistors_SMD:R_0805_HandSoldering",""
"U13","R70-5D1-3","",""
"U14","R70-5D1-3","",""
"R17","9M","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
